CODE_TYPE_EVENT;EVENT_NAME;ALERT_FLAG;CLOSE_FLAG;OPEN_FLAG;FAILURE_FLAG;REPAIR_FLAG;OTHER_FLAG;TEST_FLAG;INFO_SFLAG;WARNING_SFLAG;ERROR_SFLAG;REPAIR_SFLAG;CRIT_ERROR_SFLAG;DELETED
616;Вызов сервисной службы;0;0;0;0;0;1;0;0;0;0;0;0;0
621;Сброс журнала регистрации событий;0;0;0;1;0;0;0;0;0;0;0;0;
622;Журнал регистрации событий заполнен на 50%;0;0;0;0;0;1;0;0;0;0;0;0;
623;Журнал регистрации событий близок к переполнению;0;0;0;1;0;0;0;0;0;0;0;0;
624;Журнал регистрации событий переполнен;0;0;0;1;0;0;0;0;0;0;0;0;
625;Сброс времени/даты;0;0;0;1;0;0;0;0;0;0;0;0;
626;Время/дата не точны;0;0;0;0;0;1;0;0;0;0;0;0;
627;Вход в режим программирования;0;0;0;0;0;1;0;0;0;0;0;0;
628;Завершение программирования;0;0;0;0;0;1;0;0;0;0;0;0;
631;Исключающее изменение расписания;0;0;0;1;0;0;0;0;0;0;0;0;
632;Изменение расписания;0;0;0;0;0;1;0;0;0;0;0;0;
641;Тревога от наблюдающего;1;0;0;0;0;0;0;0;0;0;0;0;
642;Наблюдаемый в безопасности;0;0;0;0;0;1;0;0;0;0;0;0;
661;Включение программируемого выхода 1;0;0;0;0;0;1;0;0;0;0;0;0;
662;Включение программируемого выхода 2;0;0;0;0;0;1;0;0;0;0;0;0;
663;Включение программируемого выхода 3;0;0;0;0;0;1;0;0;0;0;0;0;
664;Включение программируемого выхода 4;0;0;0;0;0;1;0;0;0;0;0;0;
665;Включение программируемого выхода 5;0;0;0;0;0;1;0;0;0;0;0;0;
666;Включение программируемого выхода 6;0;0;0;0;0;1;0;0;0;0;0;0;
667;Включение программируемого выхода 7;0;0;0;0;0;1;0;0;0;0;0;0;
668;Включение программируемого выхода 8;0;0;0;0;0;1;0;0;0;0;0;0;
669;Включение программируемого выхода 9;0;0;0;0;0;1;0;0;0;0;0;0;
670;Включение программируемого выхода 10;0;0;0;0;0;1;0;0;0;0;0;0;
671;Включение программируемого выхода 11;0;0;0;0;0;1;0;0;0;0;0;0;
672;Включение программируемого выхода 12;0;0;0;0;0;1;0;0;0;0;0;0;
673;Включение программируемого выхода 13;0;0;0;0;0;1;0;0;0;0;0;0;
674;Включение программируемого выхода 14;0;0;0;0;0;1;0;0;0;0;0;0;
675;Включение программируемого выхода 15;0;0;0;0;0;1;0;0;0;0;0;0;
676;Включение программируемого выхода 16;0;0;0;0;0;1;0;0;0;0;0;0;
677;Включение программируемого выхода 17;0;0;0;0;0;1;0;0;0;0;0;0;
678;Включение программируемого выхода 18;0;0;0;0;0;1;0;0;0;0;0;0;
679;Включение программируемого выхода 19;0;0;0;0;0;1;0;0;0;0;0;0;
680;Включение программируемого выхода 20;0;0;0;0;0;1;0;0;0;0;0;0;
681;Включение программируемого выхода 21;0;0;0;0;0;1;0;0;0;0;0;0;
682;Включение программируемого выхода 22;0;0;0;0;0;1;0;0;0;0;0;0;
683;Включение программируемого выхода 23;0;0;0;0;0;1;0;0;0;0;0;0;
684;Включение программируемого выхода 24;0;0;0;0;0;1;0;0;0;0;0;0;
685;Включение программируемого выхода 25;0;0;0;0;0;1;0;0;0;0;0;0;
686;Включение программируемого выхода 26;0;0;0;0;0;1;0;0;0;0;0;0;
687;Включение программируемого выхода 27;0;0;0;0;0;1;0;0;0;0;0;0;
